Team,full_name,first_name,last_name,Pos,Ht,Wt,Birth Date,Country,Exp,College,id,is_active,Season
DAL,Jaden Hardy,Jaden,Hardy,SG,6-4,198,"July 5, 2002",us,R,,1630702,True,2023
DAL,Jaden Hardy,Jaden,Hardy,SG,6-4,198,"July 5, 2002",us,1,,1630702,True,2024
DAL,Christian Wood,Christian,Wood,C,6-8,214,"September 27, 1995",us,6,UNLV,1626174,True,2023
LAL,Christian Wood,Christian,Wood,PF,6-8,214,"September 27, 1995",us,7,UNLV,1626174,True,2024
LAC,Paul George,Paul,George,SF,6-8,220,"May 2, 1990",us,12,Fresno State,202331,True,2023
LAC,Paul George,Paul,George,PF,6-8,220,"May 2, 1990",us,13,Fresno State,202331,True,2024
POR,Jusuf Nurkic,Jusuf,Nurkic,C,7-0,290,"August 23, 1994",ba,8,,203994,True,2023
PHO,Jusuf Nurkic,Jusuf,Nurkic,C,7-0,290,"August 23, 1994",ba,9,,203994,True,2024
OKC,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,PF,6-9,230,"November 3, 2000",us,1,Villanova,1630526,True,2023
NOP,Jeremiah Robinson-Earl,Jeremiah,Robinson-Earl,PF,6-9,230,"November 3, 2000",us,2,Villanova,1630526,True,2024
LAC,Kawhi Leonard,Kawhi,Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State,202695,True,2023
LAC,Kawhi Leonard,Kawhi,Leonard,SF,6-7,225,"June 29, 1991",us,11,San Diego State,202695,True,2024
POR,Scoot Henderson,Scoot,Henderson,PG,6-3,202,"February 3, 2004",us,R,,1630703,True,2024
BOS,Jaylen Brown,Jaylen,Brown,SF,6-6,223,"October 24, 1996",us,6,California,1627759,True,2023
BOS,Jaylen Brown,Jaylen,Brown,SF,6-6,223,"October 24, 1996",us,7,California,1627759,True,2024
BOS,Jordan Walsh,Jordan,Walsh,SF,6-7,205,"March 3, 2004",us,R,Arkansas,1641775,True,2024
CHO,Cody Martin,Cody,Martin,SF,6-5,205,"September 28, 1995",us,3,"NC State, Nevada",1628998,True,2023
CHO,Cody Martin,Cody,Martin,SF,6-5,205,"September 28, 1995",us,4,"NC State, Nevada",1628998,True,2024
ORL,Franz Wagner,Franz,Wagner,SF,6-10,225,"August 27, 2001",de,1,Michigan,1630532,True,2023
ORL,Franz Wagner,Franz,Wagner,SF,6-10,225,"August 27, 2001",de,2,Michigan,1630532,True,2024
MIA,Bam Adebayo,Bam,Adebayo,C,6-9,255,"July 18, 1997",us,5,Kentucky,1628389,True,2023
MIA,Bam Adebayo,Bam,Adebayo,C,6-9,255,"July 18, 1997",us,6,Kentucky,1628389,True,2024
DET,Braxton Key,Braxton,Key,SF,6-8,230,"February 14, 1997",us,1,"Alabama, Virginia",1630296,True,2023
DEN,Braxton Key,Braxton,Key,SF,6-8,230,"February 14, 1997",us,2,"Alabama, Virginia",1630296,True,2024
ATL,John Collins,John,Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest,1628381,True,2023
UTA,John Collins,John,Collins,PF,6-9,235,"September 23, 1997",us,6,Wake Forest,1628381,True,2024
MIA,Nikola Jovic,Nikola,Jovic,PF,6-10,209,"June 9, 2003",gb,R,,1631107,True,2023
MIA,Nikola Jovic,Nikola,Jovic,PF,6-10,209,"June 9, 2003",gb,1,,1631107,True,2024
PHO,Ish Wainright,Ish,Wainright,SF,6-6,250,"September 12, 1994",us,1,Baylor,1630688,True,2023
PHO,Ish Wainright,Ish,Wainright,SF,6-6,250,"September 12, 1994",us,2,Baylor,1630688,True,2024
POR,Drew Eubanks,Drew,Eubanks,C,6-9,245,"February 1, 1997",us,4,Oregon State,1629234,True,2023
PHO,Drew Eubanks,Drew,Eubanks,C,6-9,245,"February 1, 1997",us,5,Oregon State,1629234,True,2024
GSW,Jonathan Kuminga,Jonathan,Kuminga,PF,6-8,210,"October 6, 2002",cd,1,,1630228,True,2023
GSW,Jonathan Kuminga,Jonathan,Kuminga,PF,6-8,210,"October 6, 2002",cd,2,,1630228,True,2024
CLE,Evan Mobley,Evan,Mobley,PF,6-11,215,"June 18, 2001",us,1,USC,1630596,True,2023
CLE,Evan Mobley,Evan,Mobley,PF,6-11,215,"June 18, 2001",us,2,USC,1630596,True,2024
SAC,Alex Len,Alex,Len,C,7-0,250,"June 16, 1993",ua,9,Maryland,203458,True,2023
SAC,Alex Len,Alex,Len,C,7-0,250,"June 16, 1993",ua,10,Maryland,203458,True,2024
NYK,Immanuel Quickley,Immanuel,Quickley,SG,6-3,190,"June 17, 1999",us,2,Kentucky,1630193,True,2023
TOR,Immanuel Quickley,Immanuel,Quickley,PG,6-3,190,"June 17, 1999",us,3,Kentucky,1630193,True,2024
LAL,Rui Hachimura,Rui,Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga,1629060,True,2023
WAS,Rui Hachimura,Rui,Hachimura,PF,6-8,230,"February 8, 1998",jp,3,Gonzaga,1629060,True,2023
LAL,Rui Hachimura,Rui,Hachimura,PF,6-8,230,"February 8, 1998",jp,4,Gonzaga,1629060,True,2024
ATL,Aaron Holiday,Aaron,Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA,1628988,True,2023
HOU,Aaron Holiday,Aaron,Holiday,PG,6-0,185,"September 30, 1996",us,5,UCLA,1628988,True,2024
SAS,Sidy Cissoko,Sidy,Cissoko,SF,6-8,200,"April 2, 2004",fr,R,,1631321,True,2024
CHO,Leaky Black,Leaky,Black,SF,6-9,205,"June 14, 1999",us,R,UNC,1641778,True,2024
TOR,Otto Porter Jr.,Otto,Porter Jr.,SF,6-8,198,"June 3, 1993",us,9,Georgetown,203490,True,2023
BRK,Dariq Whitehead,Dariq,Whitehead,SF,6-7,220,"August 1, 2004",us,R,Duke,1641727,True,2024
PHI,Danuel House Jr.,Danuel,House Jr.,SF,6-6,220,"June 7, 1993",us,6,Texas A&M,1627863,True,2023
SAC,Keon Ellis,Keon,Ellis,SG,6-6,175,"January 8, 2000",us,R,"Florida SouthWestern State College, Alabama",1631165,True,2023
SAC,Keon Ellis,Keon,Ellis,SG,6-6,175,"January 8, 2000",us,1,"Florida SouthWestern State College, Alabama",1631165,True,2024
LAC,Russell Westbrook,Russell,Westbrook,PG,6-4,200,"November 12, 1988",us,14,UCLA,201566,True,2023
LAL,Russell Westbrook,Russell,Westbrook,PG,6-4,200,"November 12, 1988",us,14,UCLA,201566,True,2023
LAC,Russell Westbrook,Russell,Westbrook,PG,6-4,200,"November 12, 1988",us,15,UCLA,201566,True,2024
GSW,Andrew Wiggins,Andrew,Wiggins,SF,6-7,197,"February 23, 1995",ca,8,Kansas,203952,True,2023
GSW,Andrew Wiggins,Andrew,Wiggins,SF,6-7,197,"February 23, 1995",ca,9,Kansas,203952,True,2024
GSW,Ryan Rollins,Ryan,Rollins,PG,6-4,180,"July 3, 2002",us,R,Toledo,1631157,True,2023
MIL,Ryan Rollins,Ryan,Rollins,PG,6-4,180,"July 3, 2002",us,1,Toledo,1631157,True,2024
POR,Justin Minaya,Justin,Minaya,SF,6-5,210,"March 26, 1999",us,R,,1631303,True,2023
POR,Justin Minaya,Justin,Minaya,SF,6-5,210,"March 26, 1999",us,1,,1631303,True,2024
LAL,Lonnie Walker IV,Lonnie,Walker IV,SG,6-4,204,"December 14, 1998",us,4,Miami (FL),1629022,True,2023
BRK,Lonnie Walker IV,Lonnie,Walker IV,SG,6-4,204,"December 14, 1998",us,5,Miami (FL),1629022,True,2024
CHO,Kelly Oubre Jr.,Kelly,Oubre Jr.,SF,6-7,203,"December 9, 1995",us,7,Kansas,1626162,True,2023
PHI,Kelly Oubre Jr.,Kelly,Oubre Jr.,SF,6-7,203,"December 9, 1995",us,8,Kansas,1626162,True,2024
NOP,CJ McCollum,CJ,McCollum,PG,6-3,190,"September 19, 1991",us,9,Lehigh,203468,True,2023
NOP,CJ McCollum,CJ,McCollum,PG,6-3,190,"September 19, 1991",us,10,Lehigh,203468,True,2024
SAS,Malaki Branham,Malaki,Branham,SG,6-4,180,"May 12, 2003",us,R,Ohio State,1631103,True,2023
SAS,Malaki Branham,Malaki,Branham,PG,6-4,180,"May 12, 2003",us,1,Ohio State,1631103,True,2024
GSW,Jordan Poole,Jordan,Poole,PG,6-4,194,"June 19, 1999",us,3,Michigan,1629673,True,2023
WAS,Jordan Poole,Jordan,Poole,SG,6-4,194,"June 19, 1999",us,4,Michigan,1629673,True,2024
MIN,Rudy Gobert,Rudy,Gobert,C,7-1,258,"June 26, 1992",fr,9,,203497,True,2023
MIN,Rudy Gobert,Rudy,Gobert,C,7-1,258,"June 26, 1992",fr,10,,203497,True,2024
POR,Damian Lillard,Damian,Lillard,PG,6-2,195,"July 15, 1990",us,10,Weber State,203081,True,2023
MIL,Damian Lillard,Damian,Lillard,PG,6-2,195,"July 15, 1990",us,11,Weber State,203081,True,2024
GSW,Gui Santos,Gui,Santos,PF,6-8,209,"June 22, 2002",br,R,,1630611,True,2024
PHI,Julian Champagnie,Julian,Champagnie,SF,6-8,220,"June 29, 2001",us,R,"St. John's",1630577,True,2023
SAS,Julian Champagnie,Julian,Champagnie,SF,6-8,220,"June 29, 2001",us,R,"St. John's",1630577,True,2023
SAS,Julian Champagnie,Julian,Champagnie,SF,6-8,220,"June 29, 2001",us,1,"St. John's",1630577,True,2024
MEM,David Roddy,David,Roddy,PF,6-4,255,"March 27, 2001",us,R,Colorado State,1631223,True,2023
PHO,David Roddy,David,Roddy,PF,6-4,255,"March 27, 2001",us,1,Colorado State,1631223,True,2024
MIL,Wesley Matthews,Wesley,Matthews,SF,6-5,220,"October 14, 1986",us,13,Marquette,202083,True,2023
ATL,Wesley Matthews,Wesley,Matthews,SG,6-5,220,"October 14, 1986",us,14,Marquette,202083,True,2024
NYK,Cam Reddish,Cam,Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke,1629629,True,2023
POR,Cam Reddish,Cam,Reddish,SF,6-8,218,"September 1, 1999",us,3,Duke,1629629,True,2023
LAL,Cam Reddish,Cam,Reddish,SF,6-8,218,"September 1, 1999",us,4,Duke,1629629,True,2024
SAC,Kevin Huerter,Kevin,Huerter,SG,6-7,190,"August 27, 1998",us,4,Maryland,1628989,True,2023
SAC,Kevin Huerter,Kevin,Huerter,SG,6-7,190,"August 27, 1998",us,5,Maryland,1628989,True,2024
PHI,Terquavion Smith,Terquavion,Smith,PG,6-4,165,"December 31, 2002",us,R,NC State,1631173,True,2024
IND,T.J. McConnell,T.J.,McConnell,PG,6-1,190,"March 25, 1992",us,7,"Duquesne, Arizona",204456,True,2023
IND,T.J. McConnell,T.J.,McConnell,PG,6-1,190,"March 25, 1992",us,8,"Duquesne, Arizona",204456,True,2024
CHO,Brandon Miller,Brandon,Miller,SF,6-9,201,"November 22, 2002",us,R,Alabama,1641706,True,2024
CHI,Onuralp Bitim,Onuralp,Bitim,SG,6-6,215,"March 31, 1999",tr,R,,1641931,True,2024
DAL,JaVale McGee,JaVale,McGee,C,7-0,270,"January 19, 1988",us,14,Nevada,201580,True,2023
SAC,JaVale McGee,JaVale,McGee,C,7-0,270,"January 19, 1988",us,15,Nevada,201580,True,2024
ATL,AJ Griffin,AJ,Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke,1631100,True,2023
ATL,AJ Griffin,AJ,Griffin,SF,6-6,222,"August 25, 2003",us,1,Duke,1631100,True,2024
DET,Marvin Bagley III,Marvin,Bagley III,C,6-10,235,"March 14, 1999",us,4,Duke,1628963,True,2023
WAS,Marvin Bagley III,Marvin,Bagley III,C,6-10,235,"March 14, 1999",us,5,Duke,1628963,True,2024
POR,Toumani Camara,Toumani,Camara,PF,6-8,220,"May 8, 2000",be,R,Dayton,1641739,True,2024
MIN,Karl-Anthony Towns,Karl-Anthony,Towns,PF,7-0,248,"November 15, 1995",us,7,Kentucky,1626157,True,2023
MIN,Karl-Anthony Towns,Karl-Anthony,Towns,PF,7-0,248,"November 15, 1995",us,8,Kentucky,1626157,True,2024
LAL,"D'Angelo Russell","D'Angelo",Russell,PG,6-3,193,"February 23, 1996",us,7,Ohio State,1626156,True,2023
MIN,"D'Angelo Russell","D'Angelo",Russell,PG,6-3,193,"February 23, 1996",us,7,Ohio State,1626156,True,2023
LAL,"D'Angelo Russell","D'Angelo",Russell,PG,6-3,193,"February 23, 1996",us,8,Ohio State,1626156,True,2024
NYK,Derrick Rose,Derrick,Rose,PG,6-3,200,"October 4, 1988",us,13,Memphis,201565,True,2023
MEM,Derrick Rose,Derrick,Rose,PG,6-3,200,"October 4, 1988",us,14,Memphis,201565,True,2024
SAC,Chimezie Metu,Chimezie,Metu,PF,6-9,225,"March 22, 1997",us,4,USC,1629002,True,2023
DET,Chimezie Metu,Chimezie,Metu,C,6-9,225,"March 22, 1997",us,5,USC,1629002,True,2024
UTA,Micah Potter,Micah,Potter,PF,6-10,248,"April 6, 1998",us,1,"Ohio State, Wisconsin",1630695,True,2023
UTA,Micah Potter,Micah,Potter,PF,6-10,248,"April 6, 1998",us,2,"Ohio State, Wisconsin",1630695,True,2024
GSW,Lester Quinones,Lester,Quinones,SG,6-5,208,"November 16, 2000",us,R,Memphis,1631311,True,2023
GSW,Lester Quinones,Lester,Quinones,SG,6-5,208,"November 16, 2000",us,1,Memphis,1631311,True,2024
DEN,Ish Smith,Ish,Smith,PG,6-0,175,"July 5, 1988",us,12,Wake Forest,202397,True,2023
NYK,Julius Randle,Julius,Randle,PF,6-8,250,"November 29, 1994",us,8,Kentucky,203944,True,2023
NYK,Julius Randle,Julius,Randle,PF,6-8,250,"November 29, 1994",us,9,Kentucky,203944,True,2024
MIL,Khris Middleton,Khris,Middleton,SF,6-7,222,"August 12, 1991",us,10,Texas A&M,203114,True,2023
MIL,Khris Middleton,Khris,Middleton,SF,6-7,222,"August 12, 1991",us,11,Texas A&M,203114,True,2024
OKC,Jared Butler,Jared,Butler,PG,6-3,195,"August 25, 2000",us,1,Baylor,1630215,True,2023
WAS,Jared Butler,Jared,Butler,SG,6-3,195,"August 25, 2000",us,2,Baylor,1630215,True,2024
SAS,Doug McDermott,Doug,McDermott,SF,6-6,225,"January 3, 1992",us,8,Creighton,203926,True,2023
IND,Doug McDermott,Doug,McDermott,SF,6-6,225,"January 3, 1992",us,9,Creighton,203926,True,2024
TOR,Ron Harper Jr.,Ron,Harper Jr.,PF,6-6,245,"April 12, 2000",us,R,Rutgers University,1631199,True,2023
PHI,Tobias Harris,Tobias,Harris,SF,6-8,226,"July 15, 1992",us,11,Tennessee,202699,True,2023
PHI,Tobias Harris,Tobias,Harris,PF,6-8,226,"July 15, 1992",us,12,Tennessee,202699,True,2024
DET,Jalen Duren,Jalen,Duren,C,6-10,250,"November 18, 2003",us,R,Memphis,1631105,True,2023
DET,Jalen Duren,Jalen,Duren,C,6-10,250,"November 18, 2003",us,1,Memphis,1631105,True,2024
NOP,Jose Alvarado,Jose,Alvarado,PG,6-0,179,"April 12, 1998",us,1,Georgia Tech,1630631,True,2023
NOP,Jose Alvarado,Jose,Alvarado,PG,6-0,179,"April 12, 1998",us,2,Georgia Tech,1630631,True,2024
GSW,Trayce Jackson-Davis,Trayce,Jackson-Davis,PF,6-9,245,"February 22, 2000",us,R,Indiana,1631218,True,2024
PHI,Ricky Council IV,Ricky,Council IV,SG,6-6,205,"August 3, 2001",us,R,"Wichita State, Arkansas",1641741,True,2024
LAL,Malik Beasley,Malik,Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State,1627736,True,2023
UTA,Malik Beasley,Malik,Beasley,SG,6-4,187,"November 26, 1996",us,6,Florida State,1627736,True,2023
MIL,Malik Beasley,Malik,Beasley,SG,6-4,187,"November 26, 1996",us,7,Florida State,1627736,True,2024
MIL,Andre Jackson Jr.,Andre,Jackson Jr.,SG,6-6,210,"November 13, 2001",us,R,UConn,1641748,True,2024
IND,Goga Bitadze,Goga,Bitadze,C,6-11,250,"July 20, 1999",ge,3,,1629048,True,2023
ORL,Goga Bitadze,Goga,Bitadze,C,6-11,250,"July 20, 1999",ge,3,,1629048,True,2023
ORL,Goga Bitadze,Goga,Bitadze,C,6-11,250,"July 20, 1999",ge,4,,1629048,True,2024
NYK,Miles McBride,Miles,McBride,PG,6-2,200,"September 8, 2000",us,1,West Virginia,1630540,True,2023
NYK,Miles McBride,Miles,McBride,PG,6-2,200,"September 8, 2000",us,2,West Virginia,1630540,True,2024
OKC,Isaiah Joe,Isaiah,Joe,SG,6-4,165,"July 2, 1999",us,2,Arkansas,1630198,True,2023
OKC,Isaiah Joe,Isaiah,Joe,SG,6-4,165,"July 2, 1999",us,3,Arkansas,1630198,True,2024
IND,Jordan Nwora,Jordan,Nwora,SF,6-8,225,"September 9, 1998",us,2,Louisville,1629670,True,2023
MIL,Jordan Nwora,Jordan,Nwora,SF,6-8,225,"September 9, 1998",us,2,Louisville,1629670,True,2023
TOR,Jordan Nwora,Jordan,Nwora,SF,6-8,225,"September 9, 1998",us,3,Louisville,1629670,True,2024
CHI,Dalen Terry,Dalen,Terry,SG,6-7,195,"July 12, 2002",us,R,Arizona,1631207,True,2023
CHI,Dalen Terry,Dalen,Terry,SG,6-7,195,"July 12, 2002",us,1,Arizona,1631207,True,2024
MIN,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,SG,6-5,205,"September 2, 1998",ca,3,Virginia Tech,1629638,True,2023
UTA,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,SG,6-5,205,"September 2, 1998",ca,3,Virginia Tech,1629638,True,2023
MIN,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,SG,6-5,205,"September 2, 1998",ca,4,Virginia Tech,1629638,True,2024
MEM,Jaren Jackson Jr.,Jaren,Jackson Jr.,C,6-10,242,"September 15, 1999",us,4,Michigan State,1628991,True,2023
MEM,Jaren Jackson Jr.,Jaren,Jackson Jr.,C,6-10,242,"September 15, 1999",us,5,Michigan State,1628991,True,2024
ORL,Bol Bol,Bol,Bol,PF,7-3,220,"November 16, 1999",sd,3,Oregon,1629626,True,2023
PHO,Bol Bol,Bol,Bol,PF,7-3,220,"November 16, 1999",sd,4,Oregon,1629626,True,2024
DAL,A.J. Lawson,A.J.,Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,1630639,True,2023
MIN,A.J. Lawson,A.J.,Lawson,SG,6-6,179,"July 15, 2000",ca,R,South Carolina,1630639,True,2023
DAL,A.J. Lawson,A.J.,Lawson,SG,6-6,179,"July 15, 2000",ca,1,South Carolina,1630639,True,2024
PHI,P.J. Tucker,P.J.,Tucker,PF,6-5,245,"May 5, 1985",us,11,Texas,200782,True,2023
LAC,P.J. Tucker,P.J.,Tucker,PF,6-5,245,"May 5, 1985",us,12,Texas,200782,True,2024
MEM,John Konchar,John,Konchar,SF,6-5,210,"March 22, 1996",us,3,Purdue-Fort Wayne,1629723,True,2023
MEM,John Konchar,John,Konchar,SF,6-5,210,"March 22, 1996",us,4,Purdue-Fort Wayne,1629723,True,2024
BRK,Kyrie Irving,Kyrie,Irving,PG,6-2,195,"March 23, 1992",au,11,Duke,202681,True,2023
DAL,Kyrie Irving,Kyrie,Irving,SG,6-2,195,"March 23, 1992",au,11,Duke,202681,True,2023
DAL,Kyrie Irving,Kyrie,Irving,SG,6-2,195,"March 23, 1992",au,12,Duke,202681,True,2024
ATL,Bogdan Bogdanovic,Bogdan,Bogdanovic,SG,6-5,220,"August 18, 1992",rs,5,,203992,True,2023
ATL,Bogdan Bogdanovic,Bogdan,Bogdanovic,SG,6-5,220,"August 18, 1992",rs,6,,203992,True,2024
LAL,Austin Reaves,Austin,Reaves,SG,6-5,206,"May 29, 1998",us,1,"Wichita State, Oklahoma",1630559,True,2023
LAL,Austin Reaves,Austin,Reaves,SG,6-5,206,"May 29, 1998",us,2,"Wichita State, Oklahoma",1630559,True,2024
DET,Eugene Omoruyi,Eugene,Omoruyi,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",1630647,True,2023
OKC,Eugene Omoruyi,Eugene,Omoruyi,SF,6-7,244,"February 14, 1997",ng,1,"Rutgers University, Oregon",1630647,True,2023
WAS,Eugene Omoruyi,Eugene,Omoruyi,SF,6-7,244,"February 14, 1997",ng,2,"Rutgers University, Oregon",1630647,True,2024
SAS,Victor Wembanyama,Victor,Wembanyama,C,7-4,209,"January 4, 2004",fr,R,,1641705,True,2024
SAS,Charles Bassey,Charles,Bassey,C,6-10,235,"October 28, 2000",ng,1,Western Kentucky,1629646,True,2023
SAS,Charles Bassey,Charles,Bassey,C,6-10,235,"October 28, 2000",ng,2,Western Kentucky,1629646,True,2024
MIN,Wendell Moore Jr.,Wendell,Moore Jr.,SG,6-5,213,"September 18, 2001",us,R,Duke,1631111,True,2023
MIN,Wendell Moore Jr.,Wendell,Moore Jr.,SG,6-5,213,"September 18, 2001",us,1,Duke,1631111,True,2024
IND,Tyrese Haliburton,Tyrese,Haliburton,PG,6-5,185,"February 29, 2000",us,2,Iowa State,1630169,True,2023
IND,Tyrese Haliburton,Tyrese,Haliburton,PG,6-5,185,"February 29, 2000",us,3,Iowa State,1630169,True,2024
LAL,LeBron James,LeBron,James,PF,6-9,250,"December 30, 1984",us,19,,2544,True,2023
LAL,LeBron James,LeBron,James,PF,6-9,250,"December 30, 1984",us,20,,2544,True,2024
